Employee ID,event,gender,age,industry,profession,traffic,coach,head_gender,greywage,way,extraversion,independ,selfcontrol,anxiety,novator
1011,1,m,35,Banks,HR,rabrecNErab,no,f,white,bus,6.2,4.1,5.7,7.1,8.3
1012,1,m,33,Banks,HR,empjs,no,m,white,bus,6.2,4.1,5.7,7.1,8.3
1013,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,6.2,6.2,2.6,4.8,8.3
1014,1,f,35,PowerGeneration,HR,rabrecNErab,no,m,white,bus,5.4,7.6,4.9,2.5,6.7
1015,1,m,32,Retail,Commercial,youjs,yes,f,white,bus,3,4.1,8,7.1,3.7
1016,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
1017,1,f,42,manufacture,HR,empjs,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
1018,1,f,28,Retail,HR,referal,no,m,white,bus,3.8,5.5,8,4,4.4
1019,1,f,29,Banks,HR,empjs,no,f,white,bus,8.6,6.9,2.6,4,7.5
1020,1,f,30,Consult,Marketing,youjs,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3
1021,1,f,40,manufacture,HR,rabrecNErab,no,m,white,car,8.6,4.1,1.8,7.1,6.7
1022,1,m,23,Banks,HR,referal,yes,m,white,bus,3,6.9,4.9,4.8,7.5
1023,1,f,22,Consult,HR,rabrecNErab,my head,f,white,foot,5.4,8.4,4.9,3.3,6
1024,1,f,24,State,etc,advert,yes,f,white,foot,7,6.2,4.1,7.1,9
1025,1,f,25,etc,HR,KA,my head,f,white,foot,9.4,1.2,4.1,5.6,6.7
1026,1,f,28,Building,HR,youjs,no,m,white,car,8.6,5.5,4.9,4.8,5.2
1027,1,f,30,Banks,HR,rabrecNErab,no,m,white,bus,5.4,5.5,3.3,4.8,6.7
1028,1,f,27,IT,Sales,referal,yes,m,white,bus,5.4,6.9,2.6,5.6,8.3
1029,1,f,2,Banks,HR,referal,yes,f,grey,bus,5.4,6.9,3.3,3.3,7.5
1030,1,f,29,etc,HR,referal,no,m,white,bus,7.8,6.2,6.4,7.9,6
1031,1,f,29,etc,HR,referal,no,m,white,bus,3.8,3.4,5.7,8.7,7.5
1032,1,f,48,State,BusinessDevelopment,empjs,no,f,white,bus,4.6,6.2,4.9,5.6,6.7
1033,1,f,29,Banks,Finanñe,KA,no,f,white,car,7.8,4.8,5.7,7.1,6
1034,1,f,25,Banks,HR,recNErab,yes,f,white,bus,5.4,4.8,7.2,5.6,5.2
1035,1,f,25,Banks,HR,recNErab,yes,f,white,bus,4.6,4.1,8.7,5.6,2.1
1036,1,f,36,Banks,Finanñe,rabrecNErab,no,m,white,car,7.8,6.9,3.3,3.3,7.5
1037,1,f,36,Retail,HR,rabrecNErab,my head,m,white,bus,7.8,2.6,5.7,7.1,5.2
1038,1,m,29,Banks,HR,rabrecNErab,no,f,white,car,3.8,1.9,,7.9,3.7
1039,1,f,35, HoReCa,HR,empjs,my head,f,white,bus,3,7.6,7.2,4,7.5
1040,1,f,35, HoReCa,HR,empjs,my head,f,white,bus,1.4,8.4,8,4.8,6
1041,1,f,21,Telecom,Sales,rabrecNErab,yes,f,white,bus,8.6,4.1,4.9,5.6,6
1042,1,m,35,etc,Sales,youjs,no,m,white,car,4.6,,4.1,8.7,4.4
1043,1,f,25,etc,etc,referal,my head,f,white,bus,3.8,6.9,6.4,7.1,7.5
1044,1,f,30.40033257,Retail,HR,youjs,no,m,white,bus,7,6.2,4.1,2.5,6.7
1045,1,f,29,Consult,HR,rabrecNErab,no,f,white,bus,7,6.2,4.1,4,9
1046,1,f,22,Pharma,HR,rabrecNErab,no,m,white,bus,3,4.1,8.7,7.1,6
1047,1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4
1048,1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9
1049,1,f,34,Retail,HR,KA,no,m,white,car,5.4,5.5,4.9,4.8,4.4
1050,1,f,34,Retail,HR,KA,no,m,white,car,6.2,6.2,4.9,3.3,2.9
